OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
58,4/12/2002 8:00 PM,,MRV152C_614,,GOLD,Goochland,Columbia,1,0.1 MI off East side of forest road 2957 about 0.65 MI by raod south of junction with state road 605,C,-78.126,37.808,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.1120
59,4/12/2002 8:00 PM,,MRV152C_615,,GOLD,Fluvanna,Columbia,1,0.15 MI off SW side of forest road 2956 about 0.2 MI by road NW of its intersection with state road 605; in a pine grove behind a house.,C,-78.129,37.804,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.6234
60,4/12/2002 8:00 PM,,MRV152C_616,,GOLD,Fluvanna,Columbia,1,0.15 MI off SW side of forest road 2956 about 0.2 MI by road NW of its intersection with state road 605; in a pine grove behind a house,C,-78.129,37.804,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.6234
61,4/6/2002 7:00 PM,8/24/2020 8:00 PM,MRV152C_907,,GOLD,Goochland,Columbia,1,Along both sides of forest road 2957 about 1.1 MI by road south of junction with state road 605.,,-78.127,37.781,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.0710
62,4/6/2002 7:00 PM,2/28/2017 7:00 PM,MRV152C_702,Bertha and Edith Mine,GOLD,,,0,along both sides of forest road 2957 about 1.1 MI by road south of junction with state road 605.,,-78.124,37.785,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.0309
63,4/6/2002 7:00 PM,,MRV152C_906,,GOLD,Goochland,Columbia,1,"    Along and on both sides of a stream flowing southward and near its confluence with byrd creek, about 0.65 MI north of state road 667 from a point about 0.35 MI by road west of its crossing over byrd creek.",C,-78.126,37.779,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.9536
64,4/6/2002 7:00 PM,8/24/2020 8:00 PM,MRV152C_912,,GOLD,Goochland,Columbia,1,Along both sides of forest road 2957 about 1.1 MI by road South of junction with state road 605.,,-78.128,37.773,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.5703
65,3/8/2002 7:00 PM,10/18/2017 8:00 PM,MRV152D_214-216,,GOLD,Goochland,Caledonia,1,"    From Tabscott (intersection of Rt. 605 and 603), head northeast on 605 for slightly more than 1 mile.  Take right onto paved road then take first road on right (about 1/4 mile).  These 3 prospects are in woods to the right, approximately 100 meters from the road - before getting to the first house that sits on the right side of the road.",C,-78.05,37.87,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,2,1.0193
66,3/29/2002 7:00 PM,8/31/2020 8:00 PM,MRV152D_420-423,,GOLD,Goochland,Caledonia,5,"  605 south from Caledonia .75 miles from Caledonia, take left onto dirt road. Cross under power lines .5 miles down,  sites to left .25 miles into woods Latitude and longitude represent site 422, which is almost center of the site grouping",C,-78.115,37.808,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,5,0.7115
67,4/6/2002 7:00 PM,,MRV152D_401-402,,GOLD,Goochland,Caledonia,2,"  From Caledonia go South on 605 for .5 miles turn left on dirt road travel one mile sites 401 and 402 are on the right, 1/8 a mile from the road down by the stream.",C,-78.122,37.788,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.0866
68,4/20/2002 8:00 PM,,MRV152D_223-224,,GOLD,Goochland,Caledonia,2,"Take 605 North from Caledonia right on 681 site is .5 down on the right, .5 miles into the woods.",C,-78.08,37.843,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,2,0.4022
69,4/20/2002 8:00 PM,,MRV152C_604,,GOLD,Fluvanna,Columbia,1,Take 605 north from Stage Junction for 2 miles Look for power lines to the left.  follow power lines .25 miles.  Site is at the top of the hill on the right.,C,-78.137,37.822,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.4298
70,4/13/2002 8:00 PM,,MRV152D_408-409,,GOLD,Fluvanna,Caledonia,2,"     64 East to Highway 605.  South on 605 towards Caledonia to 610.  Right onto 610 (also called White Hall Road).  Just past the county line (Fluvanna and Goochland) on the Fluvanna side turn right onto unnamed dirt road.  (This will be approximately 0.1 mile from county line).  Walk up dirt road approximately 0.1 mile, and turn right into woods to sites 408 and 409.  ",A,-78.114,37.83,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,15,0.2386
71,2/14/2002 7:00 PM,10/22/2017 8:00 PM,MRV175D_407,Davidia,IRON,Augusta,Waynesboro East,5,"   Exit Interstate 64 at exit 99. Take 250 North towards Waynesboro.  Go under railroad overpass, turn off immediately on dirt road entrance on left for site 407.  Drive further north (on 250) to next dirt road turnoff on left for sites 408-410.  Walk up abandoned road and stay in drainage swale.  The sites are about .25 miles from 250 up the hill and extend on top of the ridge.  Site 406 is back down highway 250 (under and past the RR overpass) and beside a stream. Site 406 is visible from the road.",C,-78.864,38.045,Unnamed tributary,Jones Hollow (Augusta County) from 1.1 miles above its confluence with the South River upstream including all named and unnamed tributaries.,Potomac-Shenandoah,5,1.0517
72,4/11/2002 8:00 PM,2/26/2017 7:00 PM,MRV154D_701,,GOLD,Albemarle,Esmont,1,Take 151 South to rt. 613. site is visible from the raod after 1/4 mile.,C,-78.52,37.865,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.1588
73,4/19/2002 8:00 PM,3/20/2016 8:00 PM,MRV152A_601,Josh Gold Mine,GOLD,Louisa,Ferncliff,2,Take rt. 64 into Louisa County. Take left on 604 exit.  Take right on 640.  Stop one half mile past the third offroad.  The site is 1/2 mile Northeast.,C,-78.002,37.927,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,2,0.7004
74,3/21/2002 7:00 PM,10/29/2017 8:00 PM,MRV152D_451,Young America,GOLD,Goochland,Caledonia,6,"Take 605 to Goochland, tkae a left on White hall road.  Take the first left veering road off of white hall road.  Follow for approximately 1/2 mile and on the right hand side the sites are facing southward.",C,-78.086,37.823,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,6,0.0000
75,3/21/2002 7:00 PM,,MRV152D_441,,GOLD,Goochland,Caledonia,4,"Take 605 to Goochland, take a left on White hall road.  Take the first left veering road off of white hall road.  Follow for approximately 1/2 mile and on the right hand side the sites are facing southward.",B,-78.087,37.823,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,6,0.0425
76,3/21/2002 7:00 PM,3/22/2016 8:00 PM,MRV152D_501-504,,GOLD,Goochland,Caledonia,6," Take 605 to Goochland, tkae a left on White hall road.  Take the first left veering road off of white hall road.  Follow for approximately 1/2 mile and on the right hand side the sites are facing southward.",A,-78.089,37.766,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.2974
77,4/19/2002 8:00 PM,,MRV152D_505,,MICA,Goochland,Caledonia,1,"Take 605 to Goochland, take a left on White hall road.  Take a left onto 603 from White Hall Rd.  Go 1/2 mile past the first right turn.  The site is 1/8 of a mile off the road and to the left of a house.",C,-78.089,37.766,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.2974
78,4/6/2002 7:00 PM,11/1/2016 8:00 PM,"MRV152C_909-911, 913",,GOLD,Goochland,Columbia,3,"    Approximately 1.65 miles SW of Caledonia, Follow 605 until its junction with Forest Road 2957 (1 mi.SW of the junction of state roads 605 and 610).  Follow the forest road 1.1 miles south and sites will beging to appear on both sides of the road somewhat visible from the dirt forest road.",C,-78.126,37.784,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.1103
79,1/31/2003 7:00 PM,3/15/2016 8:00 PM,MRV105B_422,,IRON,Appomattox,Stonewall,1,"     From the junction of 721 and 605, drive 11/20 mile NW .  Pull off and walk 50 yds to the north of the road.",C,-78.981,37.443,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,1.8593
80,1/31/2003 7:00 PM,9/27/2020 8:00 PM,MRV105B_418,Stonewall Iron mines,MANGANESE,Appomattox,Stonewall,1,"    From junction of 721 and 605, drive 1/4 mile NW pull off on access road.  Site 418 is 100ft. up access road on the north side on the left side.",C,-78.983,37.444,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,2.0320
81,1/25/2003 7:00 PM,,MRV130C_614,,COPPER,Buckingham,Dillwyn,1,"    Take State Route 15 South to the intersection of county route 669.  Go east of 669 until the intersection with county route 668.  Go South on 668 for approximately 0.5 miles.  There will be a gated access road to the west.  Walk about 50-100 feet on that road and there will be a fork.  Take the North fork for approximately 1/8th to 0.25 miles.  At that point, go northwest into the woods for about 200-300 feet.",C,-78.397,37.556,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.4471
82,1/31/2003 7:00 PM,,MRV105B_403,,MANGANESE,Appomattox,Stonewall,1,"    At the intersection of State Route 60 South and Route 26, take 26 South.  Drive until the intersection with County Route 611 West.  Take 611 West until you reach County Route 721 North.  Go approximately 2 miles on 721 N until you reach a Jeep Trail to the South.  The trail splits into two trails about 3/8 mile, take the right (westerly) fork of the trail.  Go approximately 1/2 mile to the site.  The site will be on the east side of the trail in a small treed area.",C,-78.99,37.441,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,1.7030
83,1/31/2003 7:00 PM,,MRV105B_411,,MANGANESE,Appomattox,Stonewall,1,"     At the intersection of State Route 60 South and Route 26, take 26 South.  Take 26 South until the intersection with County Route 611 and take 611 West.  Take 611 to a road that is not named on the map.  This road is the next road on the map after 721.  Take it to the north until the pavement ends in approximately ½-3/4 mile.  There is a paved road to the west and a dirt entrance to the east.  Take the dirt entrance to the logging area.  About 50 feet from this entrance is the site on the right side of the road.  There is a second trench to the left of the road as well.",C,-78.996,37.428,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.2706
84,1/31/2003 7:00 PM,,MRV105B_414,,MANGANESE,Appomattox,Stonewall,1,"    At the intersection of State Route 60 South and Route 26, take 26 South.  Take 26 South until the intersection with County Route 611 and take 611 West.  Take 611 to a road that is not named on the map.  This road is the next road on the map after 721.  Take it to the north until the pavement ends in approximately ½-3/4 mile.  There is a paved road to the west and a dirt entrance to the east.  Take the dirt entrance to the logging area.  Take this entrance and go approximately ½ mile to the northeast of the paved road at about a 30 degree angle.  The site is at the top of the ridge in the middle of the clear cut.",C,-78.993,37.432,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,1,0.6735
